# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-09-18T01:07:09.277Z
#
# Location: GEO 23.0N 72.5E, URSI-Code AH223 AHMEDABAD
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-07-02T21:00:00.000Z - 2013-07-02T21:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foE [MHz] - E layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of AH223 data provider
#
#Time                     CS   foE QD
2012-07-06T04:00:00.000Z  95  3.15 //
2012-07-06T04:07:30.000Z  95  3.43 //
2012-07-06T04:15:00.000Z  95  3.48 //
2012-07-06T04:22:30.000Z  95  3.48 //
2012-07-06T04:30:00.000Z 100  3.31 //
2012-07-06T04:45:00.000Z  95  3.53 //
2012-07-06T09:52:30.000Z  95  3.38 //
2012-07-06T10:45:00.000Z  95  3.03 //
2012-07-06T10:52:30.000Z  90  3.13 //
2012-07-06T11:07:30.000Z  95  3.13 //
2012-07-06T11:15:00.000Z  95  3.13 //
2012-07-06T11:22:30.000Z  85  3.15 //
2012-07-06T11:30:00.000Z  85  3.13 //
2012-07-06T11:37:30.000Z  85  3.06 //
2012-07-06T11:45:00.000Z  85  3.08 //
2012-07-06T11:52:30.000Z  95  3.01 //
2012-07-06T12:00:00.000Z  85  2.95 //
2012-07-06T12:07:30.000Z  85  2.90 //
2012-07-06T12:15:00.000Z  60  2.83 //
2012-07-06T12:22:30.000Z  65  2.78 //
2012-07-06T12:45:00.000Z  85  2.53 //
2012-07-06T12:52:30.000Z  65  2.43 //
2012-07-06T13:00:00.000Z  95  2.36 //
2012-07-06T13:07:30.000Z  40  2.33 //
2012-07-06T13:15:00.000Z  75  2.03 //
2012-07-06T13:22:30.000Z  45  2.08 //
2012-07-06T13:30:00.000Z  45  1.96 //
2012-07-06T13:37:30.000Z  95  1.80 //
2012-07-07T00:45:00.000Z  70  1.73 //
2012-07-07T00:52:30.000Z  80  1.80 //
2012-07-07T01:07:30.000Z  90  2.03 //
2012-07-07T01:15:00.000Z  95  1.93 //
2012-07-07T01:22:30.000Z  95  2.23 //
2012-07-07T01:30:00.000Z  90  2.20 //
2012-07-07T01:37:30.000Z 100  2.33 //
2012-07-07T01:45:00.000Z  90  2.43 //
2012-07-07T01:52:30.000Z  90  2.58 //
2012-07-07T02:00:00.000Z  85  2.65 //
2012-07-07T02:07:30.000Z  90  2.70 //
2012-07-07T02:15:00.000Z 100  2.78 //
2012-07-07T02:22:30.000Z  95  2.83 //
2012-07-07T02:30:00.000Z  95  2.90 //
2012-07-07T02:37:30.000Z  85  3.03 //
2012-07-07T02:45:00.000Z  95  3.03 //
2012-07-07T02:52:30.000Z  95  3.08 //
2012-07-07T03:00:00.000Z  95  3.11 //
2012-07-07T03:07:30.000Z  95  3.18 //
2012-07-07T03:15:00.000Z  95  3.13 //
2012-07-07T03:30:00.000Z  95  3.13 //
2012-07-07T03:37:30.000Z  95  3.31 //
2012-07-07T03:45:00.000Z  95  3.33 //
2012-07-07T03:52:30.000Z  90  3.40 //
2012-07-07T04:07:30.000Z  80  3.43 //
2012-07-07T10:52:30.000Z  95  3.11 //
2012-07-07T11:00:00.000Z  95  3.08 //
2012-07-07T11:15:00.000Z  95  3.08 //
2012-07-07T11:22:30.000Z  95  2.86 //
2012-07-07T11:30:00.000Z  95  2.81 //
2012-07-07T11:37:30.000Z  85  2.83 //
2012-07-07T11:45:00.000Z  85  2.76 //
2012-07-07T11:52:30.000Z  85  2.70 //
2012-07-07T12:00:00.000Z  95  2.76 //
2012-07-07T12:07:30.000Z  95  2.58 //
2012-07-07T12:15:00.000Z  85  2.70 //
2012-07-07T12:22:30.000Z  95  2.61 //
2012-07-07T12:30:00.000Z  95  2.40 //
2012-07-07T12:37:30.000Z  95  2.61 //
2012-07-07T12:45:00.000Z  85  2.56 //
2012-07-07T12:52:30.000Z  95  2.45 //
2012-07-07T13:00:00.000Z  95  2.33 //
2012-07-07T13:07:30.000Z  95  2.33 //
2012-07-07T13:15:00.000Z  95  2.18 //
2012-07-07T13:22:30.000Z  85  2.08 //
2012-07-07T13:30:00.000Z  85  1.86 //
2012-07-08T01:00:00.000Z 100  1.98 //
2012-07-08T01:07:30.000Z  95  2.03 //
2012-07-08T01:15:00.000Z 100  2.18 //
2012-07-08T01:22:30.000Z  95  2.20 //
2012-07-08T01:30:00.000Z  95  2.36 //
2012-07-08T01:37:30.000Z  95  2.43 //
2012-07-08T01:45:00.000Z  95  2.51 //
2012-07-08T01:52:30.000Z  95  2.63 //
2012-07-08T02:00:00.000Z  95  2.68 //
2012-07-08T02:07:30.000Z  95  2.70 //
2012-07-08T02:15:00.000Z  95  2.76 //
2012-07-08T02:22:30.000Z  95  2.78 //
2012-07-08T02:30:00.000Z  95  2.95 //
2012-07-08T02:37:30.000Z  95  2.90 //
2012-07-08T02:45:00.000Z  95  2.93 //
2012-07-08T02:52:30.000Z  95  3.03 //
2012-07-08T03:00:00.000Z  85  3.06 //
2012-07-08T03:07:30.000Z  85  3.06 //
