# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-12-04T23:14:36.818Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-03-03T00:01:00.000Z - 2012-03-03T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-03-03T20:07:30.000Z  90  2.47 //   --- __    --- __  115.0 //
2012-03-03T20:15:00.000Z  60   --- __  2.56 //  102.2 //    --- __
2012-03-03T20:22:30.000Z  90  2.30 //  2.58 //  102.0 //   84.3 //
2012-03-03T20:37:30.000Z  80  2.60 //  2.61 //   99.2 //  120.2 //
2012-03-03T20:45:00.000Z  80  2.60 //  2.81 //   98.8 //  117.3 //
2012-03-03T20:52:30.000Z  90  1.25 //  2.56 //  112.2 //   87.5 //
2012-03-03T21:00:00.000Z  60   --- __  2.53 //  106.8 //    --- __
2012-03-03T21:07:30.000Z  40  2.38 //  2.51 //  107.9 //  116.3 //
2012-03-03T21:15:00.000Z  90  2.10 //  2.51 //  109.9 //  119.4 //
2012-03-03T21:22:30.000Z  80   --- __  2.51 //   95.9 //    --- __
2012-03-03T21:30:00.000Z  40  2.47 //  2.53 //   94.9 //  110.5 //
2012-03-03T21:45:00.000Z  80   --- __  2.56 //  111.0 //    --- __
2012-03-03T21:52:30.000Z  60  2.47 //  2.51 //  101.0 //  120.0 //
2012-03-03T22:07:30.000Z  80  1.95 //   --- __    --- __   82.5 //
2012-03-03T22:30:00.000Z  60  1.95 //   --- __    --- __   82.5 //
2012-03-03T23:45:00.000Z  75  1.83 //   --- __    --- __   96.9 //
