# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-11-07T00:41:09.117Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-01-01T21:00:00.000Z - 2012-12-31T03:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# hE [km] - Minimum virtual height of E trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS     hE QD
2012-02-02T00:00:00.000Z  90   99.4 //
2012-02-02T00:07:30.000Z  70  115.0 //
2012-02-02T00:15:00.000Z  90   93.0 //
2012-02-02T00:22:30.000Z  60  119.3 //
2012-02-02T18:07:30.000Z  70   97.3 //
2012-02-02T18:15:00.000Z  40   99.2 //
2012-02-02T22:15:00.000Z  70   81.3 //
2012-02-02T22:30:00.000Z  60   87.8 //
2012-02-03T00:52:30.000Z 100   85.7 //
2012-02-03T18:37:30.000Z  70   94.3 //
2012-02-03T19:00:00.000Z  80  100.7 //
2012-02-03T19:07:30.000Z  70  128.7 //
2012-02-03T19:45:00.000Z  70   94.0 //
2012-02-03T23:07:30.000Z  50   87.5 //
2012-02-04T00:00:00.000Z  90  128.1 //
2012-02-04T00:07:30.000Z  90  107.7 //
2012-02-04T00:15:00.000Z  90   95.0 //
2012-02-04T00:45:00.000Z  90   83.1 //
2012-02-04T01:52:30.000Z  90   94.0 //
2012-02-04T18:22:30.000Z  40  107.0 //
2012-02-04T19:00:00.000Z  40  107.0 //
2012-02-04T19:22:30.000Z  40  103.0 //
2012-02-04T19:37:30.000Z  70  125.0 //
2012-02-04T20:07:30.000Z  80   97.0 //
2012-02-04T20:30:00.000Z  80  107.8 //
2012-02-04T20:37:30.000Z  50  107.0 //
2012-02-04T20:45:00.000Z  40  133.0 //
2012-02-04T20:52:30.000Z  40  126.4 //
2012-02-04T21:00:00.000Z  40  124.9 //
2012-02-04T21:07:30.000Z  40  130.0 //
2012-02-04T21:15:00.000Z  60  128.0 //
2012-02-04T21:22:30.000Z  40  125.8 //
2012-02-04T21:30:00.000Z  80  131.0 //
2012-02-04T21:37:30.000Z  60  125.6 //
2012-02-04T21:45:00.000Z  60  119.0 //
2012-02-04T21:52:30.000Z  80  124.0 //
2012-02-04T22:00:00.000Z  80  123.4 //
2012-02-04T22:07:30.000Z  60  102.3 //
2012-02-04T22:15:00.000Z   0  118.0 //
2012-02-04T22:22:30.000Z  90  116.0 //
2012-02-04T22:30:00.000Z  90  104.2 //
2012-02-04T22:37:30.000Z  70  117.0 //
2012-02-04T22:45:00.000Z  70  109.3 //
2012-02-04T22:52:30.000Z  70  114.5 //
2012-02-04T23:00:00.000Z   0  107.4 //
2012-02-04T23:30:00.000Z  70  111.6 //
2012-02-04T23:37:30.000Z  70  128.0 //
2012-02-05T00:00:00.000Z   0  120.5 //
2012-02-05T00:07:30.000Z  70  107.4 //
2012-02-05T00:15:00.000Z  70   87.0 //
2012-02-05T00:30:00.000Z  90   88.9 //
2012-02-05T01:07:30.000Z  45  122.0 //
2012-02-05T01:52:30.000Z  40  103.3 //
2012-02-05T18:00:00.000Z  70  110.0 //
2012-02-05T18:30:00.000Z  90  114.0 //
2012-02-05T18:45:00.000Z  80  113.6 //
2012-02-05T18:52:30.000Z  90  115.9 //
2012-02-05T19:07:30.000Z  40  108.0 //
2012-02-05T19:15:00.000Z  80  115.0 //
2012-02-05T19:22:30.000Z  90  116.3 //
2012-02-05T19:30:00.000Z  80  120.0 //
2012-02-05T19:45:00.000Z  80  123.6 //
2012-02-05T19:52:30.000Z  80  122.0 //
2012-02-05T20:00:00.000Z  70  118.0 //
2012-02-05T20:07:30.000Z  80  118.0 //
2012-02-05T20:15:00.000Z  60  119.0 //
2012-02-05T20:22:30.000Z  80  121.0 //
2012-02-05T20:30:00.000Z  80  114.1 //
2012-02-05T20:37:30.000Z  80  120.5 //
2012-02-05T20:45:00.000Z  80  115.0 //
2012-02-05T20:52:30.000Z  90  114.0 //
2012-02-05T21:00:00.000Z  60  130.0 //
2012-02-05T21:22:30.000Z  90  122.7 //
2012-02-05T22:52:30.000Z  40   77.7 //
2012-02-05T23:30:00.000Z  70   82.8 //
2012-02-05T23:37:30.000Z  40   88.2 //
2012-02-06T00:37:30.000Z  90   88.4 //
2012-02-06T00:52:30.000Z  95   83.5 //
2012-02-06T01:00:00.000Z  60   91.6 //
2012-02-06T18:10:00.000Z  75   82.4 //
2012-02-06T18:19:00.000Z  75   90.2 //
2012-02-06T18:29:00.000Z  50   90.2 //
2012-02-06T18:31:30.000Z  70   85.3 //
2012-02-06T18:37:30.000Z  50  109.7 //
2012-02-06T18:41:30.000Z  50   80.6 //
